Consumer_ID,Restaurant_ID,Restaurant_Name,Overall_Rating,Cuisine,Price,Franchise
U1077,135085,Tortas Locas Hipocampo,I like it,Fast Food,Medium,No
U1077,135038,Restaurant La Chalita,I like it,Not Informed,Medium,No
U1077,132825,Puesto De Tacos,I like it,Mexican,Low,No
U1077,135060,Restaurante Marisco Sam,Okay,Seafood,Medium,No
U1068,135104,Vips,Okay,Not Informed,None,None
U1068,132740,Carreton De Flautas Y Migadas,Don't Like,Mexican,Low,No
U1068,132663,Tacos Abi,Okay,Mexican,Low,No
U1068,132732,Taqueria El Amigo ,Don't Like,Mexican,Low,No
U1068,132630,Palomo Tec,Okay,Mexican,Low,No
U1067,132584,Gorditas Doña Tota,I like it,Not Informed,None,None
U1067,132733,Little Caesars,Okay,Pizzeria,Medium,Yes
U1067,132732,Taqueria El Amigo ,Okay,Mexican,Low,No
U1067,132630,Palomo Tec,Okay,Mexican,Low,No
U1067,135104,Vips,Don't Like,Not Informed,None,None
U1067,132560,Puesto de Gorditas,Okay,Regional,Low,No
U1103,132584,Gorditas Doña Tota,Okay,Not Informed,None,None
U1103,132732,Taqueria El Amigo ,Don't Like,Mexican,Low,No
U1103,132630,Palomo Tec,Okay,Mexican,Low,No
U1103,132613,Carnitas Mata,I like it,Mexican,Medium,Yes
U1103,132667,Little Pizza Emilio Portes Gil,Okay,Armenian,Low,Yes
U1103,135104,Vips,Okay,Not Informed,None,None
U1103,132663,Tacos Abi,Okay,Mexican,Low,No
U1103,132733,Little Caesars,I like it,Pizzeria,Medium,Yes
U1107,132660,Carnitas Mata Calle Emilio Portes Gil,I like it,Not Informed,Low,No
U1107,132584,Gorditas Doña Tota,I like it,Not Informed,None,None
U1107,132733,Little Caesars,I like it,Pizzeria,Medium,Yes
U1044,135088,Cafeteria Cenidet,I like it,Cafeteria,Low,No
U1044,132583,McDonalds Centro,Okay,American,Low,Yes
U1070,132608,Hamburguesas La Perica,I like it,Mexican,Low,Yes
U1070,132609,Pollo Frito Buenos Aires,Okay,Fast Food,Low,Yes
U1070,132613,Carnitas Mata,Okay,Mexican,Medium,Yes
U1031,132663,Tacos Abi,Don't Like,Mexican,Low,No
U1031,132665,Tacos Correcaminos,Don't Like,Mexican,Low,No
U1031,132668,Tacos El Guero,Don't Like,Mexican,Low,No
U1082,132630,Palomo Tec,Okay,Mexican,Low,No
U1023,132715,Tacos De La Estacion,Don't Like,Mexican,Low,No
U1023,132717,Tortas Hawaii,Don't Like,Fast Food,Medium,No
U1082,132613,Carnitas Mata,Don't Like,Mexican,Medium,Yes
U1082,132594,Tacos De Barbacoa Enfrente Del Tec,Don't Like,Mexican,Low,No
U1082,132608,Hamburguesas La Perica,Don't Like,Mexican,Low,Yes
U1082,132609,Pollo Frito Buenos Aires,Don't Like,Fast Food,Low,Yes
U1082,132663,Tacos Abi,Don't Like,Mexican,Low,No
U1082,132560,Puesto de Gorditas,Don't Like,Regional,Low,No
U1060,132564,Church's,I like it,Not Informed,Low,Yes
U1060,132717,Tortas Hawaii,I like it,Fast Food,Medium,No
U1060,132733,Little Caesars,I like it,Pizzeria,Medium,Yes
U1060,132740,Carreton De Flautas Y Migadas,Okay,Mexican,Low,No
U1015,135071,Restaurante La Cantina,Don't Like,Bar,Medium,No
U1123,132733,Little Caesars,Okay,Pizzeria,Medium,Yes
U1123,132608,Hamburguesas La Perica,Okay,Mexican,Low,Yes
U1123,135104,Vips,I like it,Not Informed,None,None
U1123,132584,Gorditas Doña Tota,Okay,Not Informed,None,None
U1123,132667,Little Pizza Emilio Portes Gil,Okay,Armenian,Low,Yes
U1123,132740,Carreton De Flautas Y Migadas,Okay,Mexican,Low,No
U1123,132613,Carnitas Mata,Okay,Mexican,Medium,Yes
U1123,132594,Tacos De Barbacoa Enfrente Del Tec,Okay,Mexican,Low,No
U1021,132740,Carreton De Flautas Y Migadas,I like it,Mexican,Low,No
U1026,132626,La Perica Hamburguesa,I like it,Italian,Medium,Yes
U1021,132668,Tacos El Guero,I like it,Mexican,Low,No
U1021,132715,Tacos De La Estacion,I like it,Mexican,Low,No
U1044,134987,Chilis Cuernavaca,Don't Like,Not Informed,Medium,No
U1083,135034,Michiko Restaurant Japones,I like it,Japanese,Medium,No
U1083,132723,Gordas De Morales,Okay,Mexican,Medium,No
U1083,135046,Restaurante El Reyecito,I like it,Fast Food,Medium,No
U1108,135075,Mariscos El Pescador,I like it,Seafood,Medium,No
U1108,132572,Cafe Chaires,Okay,Cafeteria,Low,No
U1108,135074,Restaurante La Parroquia Potosina,I like it,Contemporary,High,No
U1108,135028,La Virreina,Okay,Mexican,Medium,No
